Comment,Score
"After 2 months on this medication it did nothing for my manic-depressive bipolar disorder that I was diagnosed with. It caused me to rapidly put on fat and riddled me with anxiety. I've never had a panic attack in my life until I took this medication. I was prescribed latuda 40mg, after 2 months had numerous panic attacks and gained over 12lbs of fat, made me very angry and anti-social, it's also expensive as hell even with insurance. I quit taking it and forced myself to workout and eat clean and I feel 10x better than when I was taking this crap. No more depression, no more panic attacks or anger. My bipolar symptoms are completely gone from just changing my diet and adding structure to my chaotic life.",1
I would not have taken this medication if I knew it was going to effect my sex drive. I am thankful that I was only on it for a short time and I have stopped taking it a few days ago. I have been married for a longtime but we have a very active sex life now that our children are gone from the house. If I would have known that I wouldn't be able to have a orgasm during sex I never would have agreed to taking this drug. So if you value your intimacy with your partner do not take this drug or expect a lot of frustration !!!,1
"My doctor started me on a very low dose of this (100mg). I have anxiety, depression, and (a questionable diagnosis, pending review) of bipolar disorder. The first day I took this I had a full blown panic attack. My heart was racing so fast and I was experiencing pretty bad chest pain and heaviness, so much so that I called the office and they wanted me to stop taking it and go to the ER to have an EKG done. I stopped taking it for about 2 weeks, but wasn't ready to give up on it - big mistake. So I went back on it for 3 days. Each day I had elevated heart rate, and felt anxious all day long. I was EXTREMELY irritable to the point of rage, my ENTIRE face broke out with painful cystic acne I'd never had before - basically over night. Skip!",1
"I wanted to give birth control a try so my doctor put me on Tri Sprintec. It started out okay and I was fine with the outcome despite the nausea. However, I then began getting this white milky discharge a week before my period and when I had sex it smelled fishy. I went to the doctor and it was diagnosed as Bacterial Vaginosis..I have tried many treatments to ward it off nothing worked. I'm getting off Birth Control and getting my life back!",1
"Horrible burning, made my itch even worse after application,  I used this two previous times 2014 and 2016 with good results but not this time apparently the formula was changed cause the pain and itch is unbearable !!! Don't buy this Monistat 7 it's. instead  go to the doctor . I'm even crying ugh!!!",1
"So the first day of my last period was Oct. 13 2016.I had unprotected sex 13 days later in the morning of Oct26. I took plan b Oct27 just less than 26 hours later.I started getting cramps Nov.4,2,6. Nov7 I had fresh blood in my underwear so I put a tampon in thinking it's my period. There wasn't really much blood on the tampon so I put a liner on and didn't bleed again til Nov.9(which was my expected period day). Because I never had a period so light I was online and read about implantation bleeding. I was freaked out so I took a pregnancy test today Nov. 10 and I'm pregnant. I don't know what to do I'm still spotting but it's brown now. I think it didn't work for me because I was ovulating and I must have release an egg in those 26 hrs",1
"I eventually thought my weight probs were over, I was High as a kite and couldn't wait to start taking them after reading all the Positives about them, alas, it was the most disappointing thing thats happened to me,They did NOTHING for me,not even the Sleepiness occurred that people posted about.I just decided to be determined and eat as much as I  could, But as much as eat I'm still stuck on 8 stone,4 st less than my norm.I can only assume it is other Meds I'm on that is Blocking them from working,So Despondent.",1
I had unprotected sex on May 29th. The pull out method was not used (alcohol was involved). I took the day after pill about 4-2 hours after sex. I am  and 168 lbs. Found out the pill did not work and I am in fact pregnant. Took 3 pregnancy tests on June 19th... all positive. I am not sure if it was my weight or possible alcohol involved on why the pill did not work?,1
"Was on Concerta xl for 7 days and had to come off it due to the unbearable side effects of the drug. I  was diagnosed with ADHD (inattentive sub type) generalised anxiety and depression. This drug made me feel very nauseous, gave me a headache, made me shake, gave me twitches throughout my body, messed my brain up in terms of cognition etc, made me very aware of my heartbeat, made me extremely anxious to the point of not being able to leave my room or communicate with anyone and just generally messed me up. At one point i was doing some stretching on a yoga mat to try and calm myself down and i felt so confused that i didn't know what to do with my legs. This drug wasn't for me and caused an unpleasant experience.",1
"I was prescribed doxepin by my Dr and was not given any informed consent regarding side effects or interactions. I am shocked that I had so many side effects almost instantly, very dangerous medication and I am sorry that I ever followed my Drs advice. I would be very careful with this med and any med that you put into your body. I wonder if the CEO of the company that invented this would let their children take it?!",1
