Comment,Score
I have had nothing but problems with the Keppera. constant shaking in my arms and legs .Needles feeling in my arms and severe light headedness no appetite,1
"I had terrible, terrible side effects. went into seizure, whole body paralysis, nearly died, They should ban this drug !",1
"I'm naturally depressed/anxious, but this medicine has made it so much worse. Panic attacks, headaches, suicidal thoughts. Awful experience.",1
"My experience on this medicine was Awful, to say the least. I gained 40 lbs and became extremely depressed, and started having anxiety.I am now struggling with body image due to this. It had a huge effect on my joints as well. I am now weak, always sick, have stomach issues, and am always tired. I never had any of these symptoms before starting it.",1
"As a heathcare professional having given Mucomyst to patients over more than 30 year career, I've yet to observe any benefit from the aerosolization of this med. I don't want to minimize the previous comments. Used during a bronchoscopy in liquid wash, it will dissolve thick mucus quickly and effectively but the benefit of aerosolization has not been demonstrated or established in any controlled study. Also, after more than 24 hours of use, the lung tissue will begin this is a very caustic substance to lung. Too often it's order for a specific problem area of the lung. As the laws of nature take effect in that gas follows the path of least resistance, Mucomyst is delivered to all areas of lung with minimal effect to the problem.",1
Started out fine but after 3 weeks I started to experience sharp pains in my chest and abdomen. Still need to see doctor.,1
"I've been on three different kinds of birth control. I used this one twice in the past and had horrible experiences. This pill gave me awful depression from the first day of use (both instances). I could only stay on it three weeks the first try, and one night the second. If you are someone with depression, anxiety, bipolar disorder or similar, I would suggest strongly against taking this oral contraceptive. It gave me suicidal thoughts that followed into my dreams. Traumatizing experience. If I could rate it lower, I would.",1
"Pure torture  I am 2w2d preg and have developed a yeast infection , was told monostat 2 was safe to use but OMG IT IS WORSE THAN THE YEAST INFECTION !! Not 2 minutes after I inserted the cream I had the most intense itching and burning I have ever had in my life ! And I have been to the bathroom with water and a wash cloth 3 times since wiping until it is about raw down there and everytime a little more trickles out the torture begins again !!! Never will I buy this again !!! I will be calling the doctor for some other course of treatment !",1
"I purchased the zzzquil and it did not work not 1 bit , I would not recommended medication to anyone...",1
"I was started on Celexa about 2 months ago, my moods have increased thoughts of suicide, feeling worthless, sweats , nervousness. Everyone's different I guess.",1
"This medicine does not work.  Obviously, the physicians are provided incentives to prescribe this non-effective medicine.",1
"This is the worst drug I've ever taken. It gave me horrible tremors, anxiety guilt complex.",1
"I was diagnosed with FM 3 years ago. Tried gabapentin, Cymbalta, muscle relaxers and opiates. Doc finally had me gave me lyrica (after I had to try everything else first) ams at first, it worked. I did feel  but that slowly went away. After approx. 2 weeks of 22mg a day, I had horrible side effects..feeling depressed, like people were talking about me or didnt like me, had no memory or wasn't able to concentrate but what finally got me to stop was I had thoughts of driving my car off of a hill that i drive down daily. I may suffer from pain so intensely that I cry all the time, can't leave my home at times or feel blue because of it, but I had never thought of taking my own life. I stopped immediately despite my docs orders.",1
"Was on Lo Loestrin FE before which was great, but this has been horrible! Insurance was not covering Lo anymore so Dr. suggested this. 3 months and I've had 12 lbs of weight gain, and feel bloated ALL the time. Acne for the first month and then it cleared after that, but weight gain continued. Shortness of breath, indigestion late at night (even not having anything to eat within the last 4 hours). Did not notice a decrease in PMS symptoms either like I did on Lo Loestrin. Getting off this pill for a while to regulate and going to bite the bullet and pay for Lo Loestrin .",1
Does not work for my fibromyalgia.,1
Tried to take months earlier but stopped due to nausea and diarrhea. Gave it another try today....bad idea. Very sick within 1 hour of taking. Horrific headache followed by vomitting everything in my stomach.,1
"I started this shot in order to stop my already heavy flow, and it did the complete opposite! Every time that I take the shot, I am period free for a week, and then after that, 3 months of constant bleeding. It was the worst idea ever. Thank goodness that I did not go with the arm implant, I bet that I would have been bleeding for 3 years straight, no breaks!",1
did not really help with back pain.,1
"My insurance refused to pay for my oseni they told my Dr to try januvia. During the first 2 days I developed a constant cough along with upper stomach pain and diarrhea I stopped med and symptoms ceased, started back on meds yesterday and severe stomach pain returned along with diarrhea. Stopping this med for good - it's not good for me, the side affects are  too painful.",1
"The general side effects of dehydration and urination aside, those were not my problem.  Fatigue was the issue.  I was on 30mg to start and noticed after six weeks a decrease in mental acuity -- missing things I might not otherwise, more forgetful.  My dose was increased to 300mg and all I wanted to do was sleep.  Went back down to 30mg, but the exhaustion continues.  Time to try something else.",1
I have been on this pill for 2 months and have put on 8 pounds which is very uncommon for me. I also have zero sex drive. I am getting off this pill immediately. I'm going back to a regular monthly period pill.,1
"My doc told me I had an upper respiratory infection and prescribed the Z-pack and Benzonatate for the coughing. My cough was severe and already had lasted a week with it. My abs were super sore from coughing so much. The first time I took this, it seemed to work. I barely coughed the next few hours. When I took it again though it didn't do anything. In fact it made me cough more than if I hadn't taken it. Kept taking it before I went to work and it would cause me to have coughing fits and now my ribs hurt.",1
"Terrible product, would not stay on and did nothing for the pain.  Received more relief from aspirin. Will never purchase again.",1
I gave myself an injection of the medicine in my doctor's exam room under the direction of the drug rep following instruction on administering the drug and diet instruction.  No one checked my blood sugar level nor my medical history.  I assumed the injection was safe because my doctor allowed the rep to give it to me.  The next morning I awoke to a panicked husband because I was thrashing about in the bed and he could not waken me. He had given me a peppermint orally and called 911.  I could see his face but could not speak to respond to him.  My feet and legs were cramping but I could not communicate this to him nor my daughter.  The EMTs gave me glucose and I recovered quickly.  My husband and daughter fearfully watched me for weeks.,1
